id,title,description,type,release_year,genres,directors,actors
3200,the naked director,follows the story of toru muranishi's unusual and dramatic life filled with big ambitions as well as spectacular setbacks in his attempt to turn japan's porn industry on its head.,show,2019,drama|comedy,masaharu-take,takayuki-yamada|shinnosuke-mitsushima|misato-morita|tetsuji-tamayama|tokio-emoto|sairi-ito|takenori-gotô|jun-kunimura|nuno-uraji|yusaku-mori|ami-tomite
3201,abyss,"after meeting an untimely demise in separate incidents, cha min and go se-yeon discover they’ve come back to life in new bodies they don’t recognize.",show,2019,scifi|crime|fantasy|romance|comedy,yoo-je-won,park-bo-young|ahn-hyo-seop|lee-sung-jae|lee-si-eon|song-sang-eun|han-so-hee|kwon-soo-hyun|yoon-yoo-sun|park-sung-yeon|lee-cheol-min|kim-sa-rang|ahn-se-ha|kang-ye-seo
3202,women of the night,"haunted by a shadowy past, the wife of a rising star in amsterdam's mayoral office finds herself drawn into the city’s underworld of sex and drugs.",show,2019,drama|crime,,karina-smulders|hilde-van-mieghem|matteo-van-der-grijn|susan-radder|daphne-wellens|isis-cabolet|dragan-bakema|saman-amini|nienke-van-hofslot|rené-groothof|mike-libanon|roeland-fernhout|thijs-römer|aboubakr-bensaïhi|jaap-spijkers|julia-akkermans
3203,shadow,"haunted by a tragic loss, an ex-cop with a rare inability to feel pain strikes out on his own to catch offenders who've eluded johannesburg police.",show,2019,crime|action|drama|thriller,,pallance-dladla|khathu-ramabulana|amanda-du-pont|tumie-ngumla
3204,my first first love,"due to various personal reasons, a group of yun tae-o’s friends move into his house, where they experience love, friendship, and everything in between.",show,2019,drama,oh-jin-seok,ji-soo|jung-chae-yeon|jung-jin-young|choi-ri|kang-tae-oh
3205,wonder boy,"at age 25, olivier rousteing was named the creative director of the french luxury fashion house, balmain. at the time, rousteing was a relatively unknown designer, but in the decade since, he’s proven his business prowess and artistic instinct by leading balmain to new heights. wonderboy gives the viewer the rare opportunity to experience the inner sanctum of the fashion world, as we stand shoulder-to-shoulder with this extraordinary individual while he works. once the day’s hectic pace subsides, the camera becomes rousteing’s confidante, and he opens up, revealing intimate details about what both worries and drives him.",movie,2019,documentation|european,anissa-bonnefont,olivier-rousteing
3206,dolly parton: here i am,"dolly parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.",movie,2019,documentation|music,francis-whately,dolly-parton|kylie-minogue|mac-davis|jane-fonda|lily-tomlin|jerry-douglas|linda-perry|kent-wells
3207,pets united,"when roger (a robin hood-esque, stray dog) and belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",movie,2019,comedy|animation,reinhard-klooss,natalie-dormer|eddie-marsan|jeff-burrell|harvey-friedman|ian-odle|bryan-larkin|naomi-mcdonald|tom-haywood|andres-williams
3208,john mulaney & the sack lunch bunch,"john mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",movie,2019,comedy|family,rhys-thomas,john-mulaney|jake-gyllenhaal|annaleigh-ashford|david-byrne|andré-de-shields|richard-kind|natasha-lyonne|erin-quill|shereen-pimentel|tyler-bourke|jacob-laval|oriah-elgrabli|alexander-bello|ava-briglia|cordelia-comando|camille-de-la-cruz|jake-ryan-flynn|orson-hong|isabella-iannelli|suri-marrero|zell-steele-morrow|jonah-mussolino|lexi-perkel|linder-sutton|phyllis-bash|dorothy-stanley|mary-stout|annamarie-tendler
3209,ninokuni,"adapted from the video game series of the same name, ninokuni follows high school peers yuu and haru who must travel between two separate yet parallel worlds to help save their childhood friend, kotona, whose life is in danger. in this magical quest complicated by love, the three teens will be tasked with making the ultimate choice.",movie,2019,family|fantasy|romance|animation|action,yoshiyuki-momose,kento-yamazaki|mackenyu|mei-nagano|koichi-yamadera|yuki-kaji|masatō-ibu|kenjiro-tsuda|tsuyoshi-muro|maaya-sakamoto|mamoru-miyano
3210,ricky zoom,"from hasbro's entertainment one comes ricky zoom, a cgi preschool series about a red motorbike named ricky. along with his bike buddies, ricky races around the sports track, tries new stunts at the park, and zooms into adventures.",show,2019,animation|family,,
3211,homecoming: a film by beyoncé,"this intimate, in-depth look at beyoncé's celebrated 2018 coachella performance reveals the emotional road from creative concept to cultural movement.",movie,2019,documentation|music,beyoncé,"beyoncé|jay-z|kelly-rowland|solange|blue-ivy-carter|michelle-williams|tina-lawson|chloe-bailey|halle-bailey|j-balvin|pharrell-williams|cardi-b|jennifer-hudson|octavia-spencer|sza|simone-bozyermini|janee-di|chris-gray|arnetta-johnson|chris-johnson|corbin-jones|marie-katre|ariel-o'neal|peter-ortega|lauren-robinson|crystal-torres|rie-tsuji|lessie-vonner|venzella-joy-williams|vidie-williams|rasaq-adeyemi|larry-allen|mathew-ashraf|jacques-bell|alex-blake|tallie-brinson|isaac-carter|kadeem-chambers|brandon-cunningham|jalen-harvey|rashaad-horne|keir-garner|dasmyn-grigsby|michael-jones|giovanni-luevano|lomario-marchman|maurice-mosley|naderah-munajj|joey-oakly|sjoerd-onley|ralph-nadar|jason-price|loubins-richard|erin-robinson|travord-rolle|brian-snell|nathaniel-spencer|sean-torres|wayne-westley|tiffanie-cross|jasmin-cruz|steve-epting|naarai-jacobs|jamal-moore|dwanna-grange|kiandra-richardson|tiffany-ryan|jerome-wayne|chimera-wilson|cameron-wright|george-young|crystal-alforque|ashley-everett|bianca-brewton|nirine-brown|asantewa-cotterell|ashley-cruz|makeda-cyrus|hannah-douglass|edidiong-emah|hajiba-fahmy|amandy-fernandez|kayla-frails|brian-glanville|jasmine-harper|kiira-harper|larke-hassedt|le'ana-hill|corbin-hunter|ciara-hurst|marc-inniss|tina-jackson|habby-jacques|joshua-johnson|mao-kawakami|muata-langley|darina-littleton|dominique-loude|sabina-lundgren|huwer-""havoc""-marchie|amari-marshall|joré-marshall|ashanti-mcintosh|natsuki-miya|brianna-norwood|christian-owens|kendra-oyesanya|brittany-parks|jalen-preston|elysandra-quinones|jo'artis-""big-mojo""-ratti|kelsey-richardson|tacir-roberson|deijah-robinson|noelle-rodriguez|rebbi-rosie|shellee-samuels|angelo-saunders|candice-savage|lance-savali|britton-shaw|taya-shawki|nicholas-stewart|jonas-suber|china-taylor|kimmy-taylor|jarmal-terry|raphael-thomas|adrian-thompkins|jana-thompkins|laurel-thompson|jordan-ward|charles-williams|quinetta-wilmington|khadijah-wilson|larry-bourgeois|laurent-bourgeois"
3212,rookie historian goo hae-ryung,"set in the early 19th century. goo hae ryung works as a historian. female historians like goo hae ryung are generally looked down upon because of their gender. yet, goo hae ryung fulfills her duty as a historian. she gets involved with prince lee rim.",show,2019,romance|comedy|drama|history,han-hyun-hee|kang-il-soo,shin-se-kyung|cha-eun-woo|park-ki-woong|lee-ji-hoon|park-ji-hyun|gong-jeong-hwan|kim-min-sang|choi-deok-moon|jeon-ik-ryoung|kim-yeo-jin|kim-gwi-seon
3213,aziz ansari: right now,"aziz ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.",movie,2019,comedy,spike-jonze,aziz-ansari
3214,the grizzlies,"in a small arctic town struggling with the highest suicide rate in north america, a group of inuit students' lives are transformed when they are introduced to the sport of lacrosse.",movie,2019,drama|sport,miranda-de-pencier,ben-schnetzer|booboo-stewart|paul-nutarariaq|ricky-marty-pahtaykan|tantoo-cardinal|eric-schweig|will-sasso|anna-lambe|fred-bailey|miali-buscemi|brad-fraser|james-takkiruq|simon-nattaq|madeline-ivalu|seth-burke|jennifer-kilabuk|natar-ungalaaq|tiivi-qiatsuk|looee-ishulutak
3215,badla,a dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. she hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,movie,2019,thriller|crime|drama,sujoy-ghosh,amitabh-bachchan|taapsee-pannu|tony-luke|amrita-singh|manav-kaul|tanveer-ghani|denzil-smith|april-agarwal-aplin|rachel-flynn|jason-hetherington|selina-hotwani|maram-kamal|shome-makhija|begonia-villalba|paul-ellard|tariqsafdar-hussain
3216,restaurants on the edge,three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.,show,2019,reality,,
3217,dating around,"in each episode of flirtations and fails, one real-life single navigates five blind dates. the mission: find one match worthy of a second date.",show,2019,reality|romance,,
3218,les de l'hoquei,"seven young roller hockey players and their new coach will fight to save the female section of club pati minerva, while trying to find their place, both inside and outside the team.",show,2019,drama|sport,,natalia-barrientos|julia-gibert|laia-fontàn|pablo-hernández|dèlia-brufau|yasmina-drissi|mireia-aixalà|juli-fàbregas|àgata-roca|marc-clotet|nil-cardoner|guillermo-lasheras|guim-puig|david-solans|iria-del-río|david-selvas|nora-navas|asia-ortega|mireia-oriol
3219,uyare,an aspiring pilot fights for her future -- and justice -- after surviving an acid attack from her abusive boyfriend.,movie,2019,drama,manu-ashokan,parvathy-thiruvothu|asif-ali|tovino-thomas|siddique|anarkali-marikar|samyuktha-menon|prathap-pothan|prem-prakash|rajani-murali|bhagath-manuel|preetha-pradeep|sreeram-ramachandran|baiju-v.k.|kay-kay-menon|ajay-mathew|irshad-ali|anil-murali
3220,benchwarmers 2: breaking balls,a washed-up baseball player becomes an attorney. he gets a chance at redemption when his boss asks him to manage the company softball team in hopes of winning a championship.,movie,2019,comedy|sport,jonathan-a.-rosenbaum,chris-klein|jon-lovitz|chelsey-reist|lochlyn-munro|garfield-wilson|lee-majdoub|zak-santiago|jonathan-silverman|benita-ha
3221,holiday in the wild,"when her husband abruptly ends their marriage, empty nester kate embarks on a solo second honeymoon in africa, finding purpose and potential romance.",movie,2019,romance|comedy|drama,ernie-barbarash,rob-lowe|kristin-davis|fezile-mpela|john-owen-lowe|colin-moss|hayley-owen|faniswa-yisa|thandi-puren|renate-stuurman|lynita-crofford|keeno-lee-hector|waldemar-schultz|tapiwa-musvosvi|stevel-marc|marty-kint|kgahliso-solomon|chanelys-garcia-nyapisi|oscar-shumbwamuntu|rosanna-minchella
3222,the unlisted,twelve-year-old identical twins dru and kal discover that the government is secretly tracking and manipulating australia's youth via electronic tracking devices.,show,2019,scifi|thriller|family,,vrund-rao|ved-rao|abigail-adriano|miah-madden
3223,circus of books,"for decades, a nice jewish couple ran circus of books, a porn shop and epicenter for gay la. their director daughter documents their life and times.",movie,2019,documentation|history,rachel-mason,rachel-mason|josh-mason|larry-flynt|jeff-stryker|alaska-thunderfuck|phil-tarley|john-weston|david-gregory|dorian-wood
3224,the endless trench,"a small village in huelva, andalusia, spain, 1936. higinio and rosa have been married only for a few months when the civil war breaks out. higinio, being afraid of possible reprisals from the rebel faction, decides to use a hole dug in his own house as a temporary hideout.",movie,2019,drama|history|thriller|war|action|european,jose-mari-goenaga|jon-garaño|aitor-arregi,antonio-de-la-torre|belén-cuesta|vicente-vergara|josé-manuel-poga|emilio-palacios|adrián-fernández|nacho-fortes|marco-cáceres|joaquín-gómez|esperanza-guardado|antonio-romero|óscar-corrales|enrique-asenjo|arturo-vargas|estefanía-rueda|íñigo-núñez|íñigo-núñez|carlos-bernardino|fran-machado|josé-maría-del-castillo|andrés-blanco|daniel-morilla|javi-mena|cristina-almazán|unai-garcía|matías-prats-sr.|dwight-d.-eisenhower|francisco-franco
3225,brené brown: the call to courage,"brené brown is a research professor at the university of houston graduate college of social work. she has spent more than a decade studying vulnerability, courage, authenticity and shame. with two ted talks under her belt, brené brown brings her humor and empathy to netflix to discuss what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty.",movie,2019,documentation|drama,sandra-restrepo,brené-brown
3226,inside man: most wanted,an nypd hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the u.s. federal reserve.,movie,2019,action|thriller|crime,m.j.-bassett,aml-ameen|rhea-seehorn|roxanne-mckee|tanya-van-graan|jessica-sutton|greg-kriek|sven-ruygrok|akshay-kumar|andré-jacobs|joe-vaz|deon-lotz|urs-rechn|kevin-otto|paul-du-toit|bjorn-steinbach|tuks-tad-lungu|deville-vannik|aubrey-shelton|rea-segoati
3227,always a witch,"a young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day cartagena and defeat a dark rival.",show,2019,scifi|drama|fantasy,,angely-gaviria|sebastián-eslava|carlos-quintero|lenard-vanderaa|sofia-araujo|dylan-fuentes|valeria-emiliani|verónica-orozco|luis-fernando-hoyos|duban-prado
3228,morphle,"mila's dad runs the only magic pet store in the city - a fantastical place where you can find all sorts of cute and quirky pets who each have their own unique magic powers, and he has gifted mila the most magic pet of all, morphle.",show,2019,animation|family,,arthur-van-merwijk|sabrina-glow
3229,secret obsession,"recuperating from trauma, jennifer remains in danger as she returns to a life she doesn't remember.",movie,2019,drama|thriller,peter-sullivan,brenda-song|mike-vogel|dennis-haysbert|ashley-scott|paul-sloan|daniel-booko|scott-peat|blair-hickey|michael-patrick-mcgill|casey-leach|jim-hanna|ciarra-carter|eric-etebari|kati-salowsky|jennifer-peo
3230,ultramarine magmell,"one day in the middle of the pacific ocean a miracle occurred, a new continent appeared out of nowhere! the new continent was the home for new and mysterious plants, creatures and minerals!

humanity is excited as the age of exploration has returned.",show,2019,animation|action|fantasy,hayato-date,kengo-kawanishi|mao-ichimichi|hibiku-yamamura|toshiyuki-morikawa
