id,title,description,type,release_year,genres,directors,actors
3178,happy old year,"while decluttering her home, a woman's hefty house renovation leads her back to the past when she uncovers her ex-boyfriend's belongings.",movie,2019,drama|romance,nawapol-thamrongrattanarit,chutimon-chuengcharoensukying|sunny-suwanmethanon|apasiri-nitibhon|sarika-sathsilpsupa|thirawat-ngosawang|patcha-kitchaicharoen|wasu-pluemsakulthai|bhumibhat-thavornsiri|neennara-boonnithipaisit|phachaya-ngamboonsin|naphasorn-sriwilas|kelvin-wong|olan-netrangsi|nattaporn-surachatchupong|thanyathan-phonsattha|natda-chawawanid|suwit-sermsiltam|philaiwan-khamphirathat|chung-nai-tuntiviriyangkul|jitipat-vorakitpipat|erika-manuhtam|david-keric|jiraphat-kidakarnpiphat|natsahat-taweekul|puangsoi-aksornsawang|cai-lianjie|akapol-sudasna
3179,heroes of goo jit zu,three super hero animals who get hit with goo in the sky then get awsome powers.,show,2019,scifi|animation|action|comedy,,
3180,mike birbiglia: the new one,comedian mike birbiglia hits broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,movie,2019,comedy,seth-barrish,mike-birbiglia
3181,black dog,"ko ha-neul dreamed of becoming a teacher, due to a teacher who helped her when she was young. ko ha-neul now begins work as a temporary teacher at a private high school. while working there, she interacts with many people, including teachers park sung-soon and do yeon-woo. both of whom are dedicated to their teaching jobs. meanwhile, ko ha-neul faces different problems at the school. as she works through those problems, ko ha-neul grows as a person and a teacher.",show,2019,drama|action,hwang-joon-hyuk,seo-hyun-jin|ra-mi-ran|ha-jun|lee-chang-hoon|lee-yun-hui|kim-hong-pa|ye-soo-jung|jo-yeon-hee|jung-hae-kyun|park-ji-hwan|yoo-min-kyu|heo-tae-hee|woo-mi-hwa|lee-eun-saem|park-ji-hoon|chung-taek-hyun|kim-jung-young|maeng-sang-hun|kwon-so-hyun|park-yu-rim|ryu-ji-eun
3182,the show must go on: the queen + adam lambert story,"a documentary chronicling queen and lambert's incredible journey since they first shared the stage together on ""american idol"" in 2009.",movie,2019,music|documentation,simon-lupton|christopher-bird,adam-lambert|brian-may|roger-taylor|rami-malek|taylor-hawkins|simon-cowell|joe-elliott|anastacia|david-bowie|jared-braverman|nick-carter|elton-john|joe-jonas|nelson-mandela|freddie-mercury|george-michael|liza-minnelli|robert-plant|paul-rodgers|seal|paul-gambaccini
3183,you vs. wild,"in this interactive series, you'll make key decisions to help bear grylls survive, thrive and complete missions in the harshest environments on earth.",show,2019,reality|action,,bear-grylls
3184,game over,a nyctophobic woman has to fight her inner demons to stay alive in the game called life.,movie,2019,drama|thriller|horror|scifi,ashwin-saravanan,taapsee-pannu|vinodhini-vaidyanathan|anish-kuruvilla|sanchana-natarajan|ramya-subramanian|maala-parvathi
3185,historical roasts,"""roastmaster general"" jeff ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.",show,2019,comedy,,jeff-ross
3186,the forest of love,a con man and a would-be filmmaking crew force themselves into the lives of two grief-scarred young women. but nothing is as it seems.,movie,2019,drama|crime|horror|thriller,sion-sono,kippei-shiina|shinnosuke-mitsushima|kyoko-hinami|young-dais|eri-kamataki|yuzuka-nakaya|denden|sei-matobu|natsuki-kawamura|dai-hasegawa|chiho-fujii|tsukino-yamamoto|manaka-kinoshita|miyu-kinoshita|yuki-nagashima|gaku-sano|takato-yonemoto|tsumiki-murakami|nana-mizoguchi|nami-uehara|sho-yakumaru|fûsaku-tani|izumi|hideyuki-kobashi|yamato-kuwamura|yuki-ashida|cyborg-kaori|setchin-kawaya|maki-sawa|ryo-ikeda|masayuki-shida|hajime-tsukumo|shin-shimizu
3187,mortel,a group of french teenagers are bound together by a supernatural force.,show,2019,horror|scifi|crime|drama|fantasy,,sami-outalbali|carl-malapa|némo-schiffman|manon-bresch|corentin-fila
3188,elisa & marcela,"in 1901, marcela gracia ibeas took on the identity of mario sánchez to marry her lover of fifteen years, elisa sanchez loriga.",movie,2019,drama|romance|european,isabel-coixet,natalia-de-molina|greta-fernández|sara-casasnovas|tamar-novas|maría-pujalte|francesc-orella|manolo-solo|kelly-lua|manuel-lourenzo|jorge-suquet|ana-santos|lluís-homar|mariana-carballal|luisa-merelas|roberto-leal|amparo-moreno|vanesa-aguilar|lucas-pinheiro|marcos-javier-fernández-eimil|tania-lamata|covadonga-berdiñas|elena-seijo|joana-oliveira
3189,the hard way,"after learning of his brother's death during a mission in romania, a former soldier joins two allies to hunt down a mysterious enemy and take his revenge.",movie,2019,action,keoni-waxman,michael-jai-white|luke-goss|randy-couture|madalina-anea|grant-campbell|george-remes|ovidiu-niculescu|andreea-diac|michaela-holla|bogdan-farcaș|daniel-onuoha|dan-cade|cosmin-dominte|elias-ferkin|adina-stetcu
3190,the edge of democracy,"a cautionary tale for these times of democracy in crisis—the personal and political fuse to explore one of the most dramatic periods in brazilian history. with unprecedented access to presidents dilma rousseff and lula da silva, we witness their rise and fall and the tragically polarized nation that remains.",movie,2019,documentation|history,petra-costa,dilma-rousseff|luiz-inácio-lula-da-silva|michel-temer|eduardo-cunha|jair-bolsonaro|sérgio-moro|paulo-maluf|jean-wyllys|aécio-neves|gilberto-carvalho|petra-costa|barack-obama|queen-elizabeth-ii-of-the-united-kingdom|nelson-mandela|li-an|elena-andrade
3191,put your head on my shoulder,"as si tu mo's graduation is nearing, she is confused about her future plans. her ordinary days are suddenly shaken up when the genius physics student gu wei yi appears in her life. the two accidentally end up living together and chaos begins.",show,2019,drama|comedy|romance,주둥닝,xing-fei|lin-yi|tang-xiaotian|zheng-yingchen|sha-yi|mengfan-li|zhou-zixin
3192,undercover brother 2,"sixteen years ago, undercover brother and his younger brother were hot on the heels of the leader of a racist, worldwide syndicate, but accidentally got caught in an avalanche of white snow. after they were discovered and thawed out, undercover brother remained in a coma. now, it is up to his little brother to finish the job they started.",movie,2019,comedy|action,leslie-small,michael-jai-white|barry-bostwick|jeff-daniel-phillips|gary-owen|isabelle-fretheim|affion-crockett|lindsay-lamb|laila-odom|l.-warren-young|tyler-crumley|kayla-eva|brandon-hirsch|zac-zedalis|steven-lee-johnson|melanie-loren|josh-daugherty|vince-swann
3193,chocolate,"brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",show,2019,drama,lee-hyung-min,ha-ji-won|yoon-kye-sang|jang-seung-jo|min-jin-woong|yoo-teo|kim-won-hae|yeom-hye-ran|lee-han-seo|jun-suk-ho
3194,the trial,"a group of characters is implicated in the murder of angelica. they all walk on a razor's edge searching for the truth, waiting for a verdict, which will establish, in a way or another, a new course for their lives.",show,2019,crime|thriller|drama,stefano-lodovichi,vittoria-puccini|francesco-scianna|camilla-filippi|simone-colombari|maurizio-lastrico|alessandro-averone|euridice-axén|marco-baliani|pia-lanciotti|giordano-de-plano|roberto-herlitzka|tommaso-ragno|michele-morrone|margherita-caviezel
3195,touch your heart,"hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney.",show,2019,drama|comedy|romance,park-joon-hwa,lee-dong-wook|yoo-in-na|lee-sang-wu|son-sung-yoon|oh-jung-se|shim-hyung-tak|jang-so-yeon|park-ji-hwan|lee-joon-hyuk|kim-hee-jung|park-kyung-hye
3196,lego marvel spider-man: vexed by venom,"thanks to green goblin and venom, tech theft is now at an all-time high. can our friendly neighborhood spider-man put an end to their mysterious villainous scheme before all of new york city is destroyed?",movie,2019,animation|action|comedy|family,ken-cunningham|andrew-duncan,robbie-daymond|ben-pronsky|josh-keaton|tara-strong|jennifer-hale|laura-bailey
3197,my country: the new age,"set during the turbulent time of the fall of goryeo and the founding of joseon, two former friends face-off against one another over a woman and the future shape of the nation.",show,2019,drama|action,kim-jin-won,yang-se-jong|woo-do-hwan|kim-seol-hyun|jang-hyuk|kim-yeong-cheol|park-ye-jin|yu-oh-seong|jang-young-nam|ji-seung-hyun|in-gyo-jin
3198,the letter reader,"while struggling to adapt to a new environment, siyabonga, a 12-year-old boy discovers the impact of reading letters to people. one day a letter with bad news lands in his hands.",movie,2019,drama,sibusiso-khuzwayo,andile-gumbi|bahle-mashinini|nokuthula-mazibuko|nomalanga-shabane|sibongimpilo-sikhosana|muzi-vilakazi|martin-edward-ziqubu
3199,saint seiya: knights of the zodiac,"seiya and the knights of the zodiac rise again to protect the reincarnation of the goddess athena, but a dark prophecy hangs over them all.",show,2019,animation|action|scifi|fantasy,,bryson-baugus|emily-neves|marty-fleck
